13.7,24.7,25.7,32.5,36.4,38.4,38.4,40.4,41.1,41.2,41.4,41.7,42.2,42.4,42.6,42.7,45.4,45.7,47.3,47.3,47.4,47.6,47.8,48.1,48.3,49.0,49.4,50.3,51.2,52.6,55.3,59.9
11.3,11.6,14.6,25.2,34.3,36.5,37.1,39.3,40.7,40.9,41.3,41.6,41.9,42.4,42.7,43.1,43.4,47.0,47.2,47.9,48.2,48.2,48.8,49.7,49.7,50.4,50.6,50.9,53.3,53.6,60.3,61.7
-15.6,-10.4,-8.9,-5.7,9.7,15.3,24.4,26.1,34.5,38.8,41.8,41.9,42.3,42.5,42.6,42.6,42.6,43.2,44.3,46.5,46.7,47.2,47.4,48.3,48.7,48.8,49.4,50.1,50.3,51.0,54.6,59.4
-11.8,-11.8,-9.3,23.2,28.4,36.1,37.6,38.5,39.4,40.0,40.1,41.0,41.3,41.4,41.5,41.7,42.0,44.7,45.3,46.0,46.0,46.0,46.3,47.2,47.6,49.6,50.6,51.0,52.3,53.1,55.4,56.0
1.3,13.1,15.6,20.7,31.9,33.1,36.4,36.7,37.2,38.1,39.7,40.6,40.9,41.8,42.7,42.9,44.3,44.8,45.0,45.6,45.6,45.6,45.8,48.3,48.3,48.8,49.5,51.4,52.0,54.5,54.9,58.3
-48.1,-7.4,3.0,7.5,13.2,14.6,36.2,36.7,37.5,37.7,38.8,40.5,41.1,41.9,42.3,43.1,44.4,44.9,47.1,47.3,47.5,49.0,49.2,49.8,50.0,50.5,50.8,51.2,52.3,52.6,53.9,54.6
-24.4,20.3,23.4,26.6,31.1,31.7,32.4,33.6,35.9,35.9,38.2,38.9,39.5,39.7,41.4,42.0,43.2,45.2,47.0,47.7,48.1,48.3,49.4,49.5,50.6,52.2,52.3,52.6,53.2,54.5,54.9,55.1
22.5,23.7,24.6,31.1,38.7,38.8,39.6,39.8,40.2,40.5,40.8,41.6,42.1,42.5,42.5,42.9,44.9,44.9,45.8,47.4,48.0,48.4,48.6,49.9,50.9,51.8,52.0,52.3,52.6,56.6,56.7,61.0
3.6,12.6,14.6,21.8,24.4,29.7,35.4,37.2,38.8,40.0,40.6,41.0,41.7,41.9,42.8,43.1,43.2,43.7,44.0,44.8,44.9,45.4,45.9,46.0,46.4,48.4,49.0,50.6,51.4,51.4,53.4,53.7
-17.5,8.9,23.7,27.7,29.3,34.5,34.9,38.0,38.3,39.2,39.9,41.6,41.7,42.7,43.3,43.9,44.5,45.0,46.8,47.0,48.4,49.0,49.3,49.5,50.3,50.4,51.1,52.5,54.6,55.3,56.5,61.0
0.1,0.4,8.4,13.4,19.7,22.0,33.8,34.6,35.1,35.6,38.4,39.6,39.8,40.2,40.6,41.0,42.2,42.2,43.1,43.5,44.6,44.6,47.5,48.0,48.5,48.9,50.3,50.7,51.1,51.8,52.4,53.2
-18.5,-6.7,-4.8,14.1,15.8,20.1,20.8,25.7,36.1,36.2,37.1,38.8,39.2,39.6,40.5,40.8,40.8,41.7,42.1,42.2,42.9,43.8,48.1,48.4,48.6,48.7,49.1,50.8,51.5,51.7,53.6,54.7
-16.9,4.1,9.3,21.8,23.6,23.6,24.3,24.5,24.5,35.3,37.3,37.6,38.1,39.1,40.7,41.0,41.9,42.2,42.5,43.3,45.5,45.9,46.4,46.7,47.0,47.6,52.1,52.2,52.6,52.8,53.0,53.3
22.7,23.4,24.7,24.8,28.6,37.5,39.4,41.0,41.0,41.1,41.1,41.4,41.7,41.9,42.6,42.9,43.6,43.6,44.3,44.9,45.7,46.0,47.0,47.3,47.7,49.0,51.4,51.5,52.0,52.4,53.1,53.8
