0.1,0.1,0.1,17.5,19.4,21.7,22.9,23.3,23.6,23.7,23.9,24.0,25.5,33.2,42.7,42.7,43.7,46.1,46.9,48.0,53.8,55.6,55.8,58.4
0.0,0.1,0.1,0.1,14.8,21.3,21.3,21.8,23.1,23.4,23.5,23.5,24.2,24.8,38.3,38.6,41.4,44.5,45.5,46.0,46.9,47.3,52.3,54.8
0.1,7.9,14.4,14.8,20.4,21.5,21.7,22.4,22.8,22.9,23.0,24.0,24.8,25.0,28.0,34.3,45.1,47.3,47.3,47.6,49.1,49.6,55.4,56.5
0.1,17.7,19.4,21.5,21.5,22.7,23.1,23.4,24.1,25.7,26.4,27.3,38.0,39.7,40.4,40.7,44.0,44.2,45.9,46.1,49.3,49.4,51.5,54.4
0.1,1.1,18.7,19.7,21.9,22.7,23.0,23.0,23.3,23.8,24.1,25.0,26.5,36.7,40.3,40.8,43.2,43.8,44.2,47.6,47.9,50.8,52.9,54.0
0.2,17.5,19.9,20.2,20.7,23.0,23.5,23.7,24.1,24.1,24.4,27.1,38.7,39.6,41.1,41.6,41.8,42.5,46.2,46.7,47.2,47.2,50.8,51.5
0.1,0.1,0.1,11.4,19.6,21.5,21.8,22.9,22.9,24.1,24.3,24.5,36.5,41.0,41.4,43.0,44.0,44.3,44.5,46.1,46.9,48.7,49.3,56.3
0.1,0.1,0.2,7.8,19.3,21.0,21.9,22.8,23.0,23.8,23.8,24.1,38.6,39.3,39.7,40.5,41.6,44.2,45.4,45.5,46.4,47.9,54.1,54.6
0.0,0.1,0.1,16.9,19.5,22.4,22.6,22.9,23.5,23.8,24.8,26.6,28.8,33.0,35.0,35.3,36.2,38.2,38.5,39.2,40.8,45.4,46.4,59.5
0.1,0.1,19.8,20.4,20.9,21.1,21.3,22.2,22.7,23.2,23.6,24.4,24.8,26.7,29.6,31.3,35.1,39.5,40.1,40.1,43.3,46.1,50.2,51.0
-0.0,0.0,0.1,14.5,21.9,22.4,22.9,24.0,24.0,24.3,24.8,25.1,27.7,28.5,39.2,41.3,45.0,45.5,45.7,47.1,48.2,48.5,49.6,54.5
-0.0,0.1,0.1,0.1,1.1,15.3,20.2,21.3,21.9,22.2,22.2,23.0,25.2,25.2,26.7,27.2,37.7,41.0,45.0,45.7,45.8,46.1,52.7,56.2
0.1,0.1,0.1,0.2,0.2,14.8,16.5,21.6,22.4,22.5,23.0,23.1,23.3,23.3,23.8,26.8,28.0,36.3,40.3,48.6,49.5,49.8,50.0,50.5
0.1,0.1,12.8,16.7,16.8,17.1,17.8,18.9,21.9,22.3,23.0,23.5,23.6,23.9,24.2,25.9,40.8,43.1,44.1,45.1,46.5,50.9,51.2,51.8
-0.1,0.1,0.1,14.8,14.9,16.8,17.3,17.7,22.1,22.5,22.6,23.4,24.1,24.1,25.0,25.9,29.7,42.9,44.4,45.7,48.6,49.6,51.7,54.0
0.1,16.3,17.1,17.6,17.9,18.8,20.7,23.0,23.1,23.4,23.5,24.8,24.9,25.0,26.7,42.1,42.4,44.0,44.5,45.8,45.9,48.4,51.5,58.7
7.0,10.0,13.5,14.4,16.4,21.7,22.7,23.3,23.7,23.8,24.2,24.2,27.5,39.8,43.4,44.6,45.6,46.8,47.6,49.5,51.0,51.8,54.1,54.7
0.0,0.0,18.0,22.6,22.8,22.9,24.0,24.5,24.6,24.6,24.7,26.3,34.8,39.9,41.9,44.4,44.7,45.6,45.6,46.1,50.6,52.0,52.2,54.1
0.1,16.0,21.3,22.2,22.9,23.0,23.1,24.1,24.3,27.5,30.2,39.4,44.0,45.2,45.5,46.3,46.4,47.8,47.8,50.7,54.8,55.4,56.0,57.2
0.1,0.1,0.1,0.2,21.4,22.3,22.6,22.6,22.6,23.1,23.5,25.6,27.7,28.2,40.1,41.2,41.7,43.4,45.1,46.8,49.3,51.2,52.0,56.1
15.3,20.1,22.0,22.2,22.4,22.7,22.7,23.8,25.3,25.4,25.9,42.2,42.2,46.2,47.2,49.0,49.2,49.9,50.7,53.8,54.5,55.6,56.3,56.7
-1.6,0.1,0.1,22.1,22.7,23.1,23.6,23.8,25.0,25.1,25.8,42.2,44.6,46.9,49.3,49.7,50.8,51.6,53.8,54.2,54.6,54.8,56.5,57.5
0.1,1.1,17.5,21.7,21.8,21.8,22.0,23.1,23.4,24.7,25.2,33.0,39.2,43.2,43.4,43.8,44.1,44.3,45.6,45.7,46.0,48.7,49.0,54.5
0.1,0.1,0.1,0.1,19.2,19.2,20.8,22.6,22.7,24.2,24.5,25.0,40.0,41.0,42.3,45.1,46.9,47.3,48.2,50.3,50.5,50.8,52.7,55.7
0.0,0.1,0.1,0.1,0.1,0.1,1.1,19.8,20.0,22.0,22.8,23.0,25.1,25.3,35.1,42.6,42.8,42.9,43.0,44.1,47.5,47.7,47.9,51.6
0.1,0.1,0.1,0.2,1.2,17.9,19.6,20.2,21.1,22.0,22.8,22.9,23.6,25.7,26.9,27.3,39.9,46.1,46.7,46.8,48.9,49.5,52.7,55.8
0.1,0.1,13.7,19.0,21.6,22.4,22.9,23.4,23.9,24.4,24.5,26.0,26.3,36.0,41.7,43.5,43.7,45.0,46.1,46.4,47.1,49.5,49.8,51.0
